Student ID,Subject ID,Group ID
263,PT1002,1
264,NI0288,1
264,OG0355,1
264,NI0270,1
264,FI0224,3
264,PR0311,1
264,NI0257,2
265,IC0273,3
265,IC0275,1
266,IP0249,3
266,CO0217,2
266,IP0256,1
266,IP0249,3
266,PT0152,1
267,CS0239,2
267,HL0550,2
267,CS0240,2
267,CM0028,1
267,CS0061,2
267,CS0046,1
268,NI0288,2
268,FI0035,2
268,NI0191,2
268,NI0257,2
269,EC0314,1
269,PT0111,1
270,ME0171,4
270,OG0128,4
270,OG0123,7
271,IC0280,2
271,IC0273,1
271,IC0274,3
271,IC0280,2
271,IC0281,3
271,IC0277,1
272,IP0281,1
272,BI0265,3
272,CM0244,4
272,ST0241,3
272,IM0235,6
272,IM0235,6
272,BI0265,3
273,EC0101,6
273,NI0104,6
273,CM0218,1
273,ME0215,3
273,DE0119,6
273,NI0260,1
274,PS0323,1
274,PS0332,1
274,PS0339,1
275,OG0283,3
275,NI0251,1
275,OG0355,1
275,NI0191,2
275,NI0283,1
277,ME0249,1
277,OG0281,2
277,OG0282,1
277,ME0248,2
277,ME0245,2
277,PT0308,1
278,CM0446,1
278,CM0078,1
278,BU0112,1
278,CM0075,1
279,DE0132,2
279,DE0128,1
279,DE0135,1
280,CM0211,1
280,FI0224,4
280,BU0600,19
280,NI0100,1
280,DE0221,2
281,PS0302,1
281,HL0551,2
281,PS0316,2
281,PS0308,1
281,PS0304,1
282,EC0258,1
282,EC0285,1
282,EC0306,1
282,FI0157,1
283,DF0460,2
283,BI0464,1
283,BI0232,2
283,BI0232,2
283,DF0460,2
284,PT0113,21
284,EC0246,2
284,EC0258,2
285,ST0263,2
285,ST0262,1
286,OG0268,1
286,FI0155,3
286,OG0349,1
287,IP0672,51
287,CM0235,2
287,IP0283,1
287,PT0302,1
288,BI0499,1
288,BI0497,1
288,BI0498,1
288,BI0496,1
289,DF0239,12
289,CM0235,4
289,DF0239,12
289,IP0280,1
289,OG0591,12
290,CT0240,4
290,CT0241,2
290,CT0240,4
291,MU0495,183
291,MU0475,185
291,MU0478,186
291,MU0687,184
292,CT0257,1
292,CT0255,2
292,CT0647,81
292,CT0646,81
293,IP0664,2
293,IP0258,1
293,IP0256,3
293,ST0241,2
294,CM0218,6
294,FI0224,2
294,NI0276,3
294,NI0251,2
294,NI0283,1
295,NI0221,2
295,OG0347,8
295,HL0555,10
295,DE0215,1
296,MU0495,184
296,MU0758,183
296,MU0468,185
296,MU0667,183
296,MU0607,184
297,DE0908,1
297,DE0151,1
297,DE0055,1
297,DE0078,1
297,DE0162,1
298,IC0288,2
298,IC0291,2
298,IC0275,2
298,IC0281,5
298,IC0277,1
299,CM0230,3
299,ID0280,1
299,ID0247,6
299,ID0247,6
299,ID0248,58
300,MU0446,183
301,IP0664,2
301,OG0064,2
301,CO0217,1
301,IP0256,3
302,IC0265,3
302,IC0291,3
302,IC0266,3
302,OG0591,12
303,PS0328,1
303,PS0326,1
303,PS0343,1
304,NI0238,1
304,NI0287,3
305,IM0250,1
305,IM0232,4
305,IP0231,1
305,IM0601,71
306,CM0108,1
306,EC0216,2
306,EC0216,2
307,DE0137,3
307,DE0143,2
307,DE0145,3
307,DE0148,2
307,DE0134,1
307,DE0149,2
308,OG0064,1
308,OG0261,2
308,IC0695,142
308,IM0601,71
308,IM0144,1
309,IP0241,2
309,BI0265,3
309,IM0235,2
309,IM0235,2
309,OG0591,23
309,BI0265,3
310,CM0232,8
310,CT0310,4
310,ID0262,3
310,IP0283,3
310,PT0302,1
311,PS0306,1
311,PS0310,2
311,PS0309,1
311,HL0552,2
312,PS0310,1
312,BU0401,1
312,BU0180,1
312,PS0300,1
312,PS0308,2
313,CM0212,11
313,CO0134,1
313,ME0241,3
313,EC0243,8
313,DE0119,6
313,OG0128,6
314,DE0120,2
314,OG0123,8
315,BI0235,1
315,PR0238,1
315,ST0240,3
315,PR0239,3
315,BI0235,1
315,PR0239,3
316,OG0281,1
316,ME0212,3
316,CO0221,1
316,OG0133,5
316,ME0159,3
317,PT0113,35
317,PT0020,1
317,CO0222,1
317,OG0349,1
318,EC0314,1
318,EC0235,4
318,FI0155,2
319,NI0267,1
319,OG0064,2
319,NI0191,1
319,NI0251,2
319,NI0299,3
320,NI0288,2
320,NI0191,1
320,ME0156,6
321,IM0234,1
321,IP0284,4
321,OG0262,5
321,OG0064,2
321,IP0251,2
321,IP0284,4
322,IP0252,1
322,IM0245,1
322,IM0245,1
322,IM0244,1
322,IM0144,1
323,OG0125,1
323,OG0261,1
323,FI0157,3
323,ME0212,6
323,ME0249,2
323,OG0128,4
324,PT0002,1
324,CO0125,1
325,BU0465,1
325,ME0241,3
325,BU0465,1
325,CO0133,7
326,CS0219,1
326,CS0214,1
326,CS0223,1
326,CS0220,1
327,OG0123,1
327,CM0211,2
327,CO0135,11
328,EC0275,1
328,CO0133,6
328,FI0224,3
329,CM0212,2
329,OG0122,5
329,HL0591,4
329,ME0104,3
329,ME0104,3
330,EC0101,6
330,BU0009,5
330,DE0120,2
330,OG0123,8
330,CO0133,7
331,IC0268,3
331,IC0282,3
331,IC0272,2
331,IC0291,4
331,IC0270,4
331,IC0290,1
332,DE0136,2
332,DE0132,3
332,DE0130,1
332,DE0128,1
332,DE0135,1
333,PT0002,1
333,NI0281,1
333,ME0156,2
334,DE0124,2
334,EC0159,3
334,HL0555,16
334,DE0086,2
334,DE0121,1
334,DE0025,2
335,NI0278,1
335,NI0221,2
335,EC0103,3
335,DE0215,1
336,PR0614,4
336,PR0602,4
336,PR0255,1
336,PR0630,145
337,FI0240,1
338,PS0317,2
338,ME0070,4
338,ME0212,2
338,NI0257,2
339,EC0307,1
339,EC0246,2
339,EC0311,1
339,EC0251,1
339,NI0276,3
339,EC0306,1
339,PT0111,1
340,DE0077,1
341,NI0287,1
341,FI0035,1
341,EC0235,4
341,ME0253,3
341,OG0137,3
342,BI0486,1
342,BI0489,1
342,BI0498,1
342,BI0489,1
342,PT0309,1
343,CO0333,1
343,EC0301,1
343,NI0269,1
344,ID0262,88
344,IP0663,2
345,IC0290,3
345,IC0272,1
345,OG0591,1
345,IC0288,3
345,IC0269,2
346,DE0124,1
346,DE0132,1
346,DE0025,1
346,DE0121,1
346,DE0126,4
347,FI0155,1
347,HL0555,8
347,OG0127,1
347,OG0137,1
347,ME0242,2
347,PT1001,1
348,IC0265,3
348,IC0264,3
